"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 08:41:27 UTC 2025","Fri Jan 03 08:41:28 UTC 2025","89","","","","","","Admin tries to update a non-existing book id",""
"passed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","83","","","","","","Verify the response of the POST /api/books API as admin without both title and author",""
"failed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","87","","","","","","Verify the response of the POST /api/books API as user with an existing title but a different author",""
"failed","Fri Jan 03 08:41:24 UTC 2025","Fri Jan 03 08:41:24 UTC 2025","200","","","","","","Verify the response of the DELETE API as admin with an existing ID",""
"passed","Fri Jan 03 08:41:27 UTC 2025","Fri Jan 03 08:41:27 UTC 2025","170","","","","","","Verify the response of the PUT /api/books/{id} API as user",""
"passed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","92","","","","","","Attempt to create two different books with the same author but different titles as admin",""
"passed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","94","","","","","","Attempt to create two different books with the same author but different titles as user",""
"failed","Fri Jan 03 08:41:24 UTC 2025","Fri Jan 03 08:41:24 UTC 2025","170","","","","","","Verify the response of the DELETE API as user with an existing ID",""
"passed","Fri Jan 03 08:41:27 UTC 2025","Fri Jan 03 08:41:27 UTC 2025","84","","","","","","Verify the response of the POST /api/books API as user with title and without author",""
"failed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","83","","","","","","Verify the response of the POST /api/books API as admin with empty title",""
"passed","Fri Jan 03 08:41:29 UTC 2025","Fri Jan 03 08:41:29 UTC 2025","162","","","","","","Update an existing book without title as user",""
"passed","Fri Jan 03 08:41:25 UTC 2025","Fri Jan 03 08:41:25 UTC 2025","165","","","","","","Verify the response of the GET /api/books/{bookId} API as admin with existing ID",""
"passed","Fri Jan 03 08:41:28 UTC 2025","Fri Jan 03 08:41:28 UTC 2025","169","","","","","","Update existing book with a new title and the same author as admin",""
"failed","Fri Jan 03 08:41:27 UTC 2025","Fri Jan 03 08:41:27 UTC 2025","163","","","","","","Update existing book without author (different title) as admin",""
"passed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","88","","","","","","Verify the response of the POST /api/books API as user with valid data",""
"failed","Fri Jan 03 08:41:24 UTC 2025","Fri Jan 03 08:41:24 UTC 2025","83","","","","","","Verify the response of the DELETE API as user with a non-existing ID",""
